Charge Point ID,Serial,Site,Make,Lat,Lon
60001,EM3883B-3,Central Lower Car Park,Elektromotive,53.47605,-2.24672
60002,EM3883A-1,Central Lower Car Park,Elektromotive,53.47605,-2.24672
60003,EM3702A-1,Central Lower Car Park,Elektromotive,53.47605,-2.24672
60004,EM3702B-3,Central Lower Car Park,Elektromotive,53.47605,-2.24672
60005,EM3726A-1,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60006,EM3726B-3,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60007,EM3696A-1,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60008,EM3696B-3,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60009,EM3701A-1,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60010,EM3701B-3,Octagon Multistorey,Elektromotive,53.57618,-2.43077
60011,EM3728A-1,Church Street Car Park- Level 3,Elektromotive,53.48343,-2.23725
60012,EM3728B-3,Church Street Car Park- Level 3,Elektromotive,53.48343,-2.23725
60019,3736A,Rochdale Train Station,Elektromotive,53.610335,-2.151137
60020,3736B,Rochdale Train Station,Elektromotive,53.610335,-2.151237
60021,EM3718A-1,Rochdale Train Station,Elektromotive,53.61102,-2.15445
60022,EM3718B-3,Rochdale Train Station,Elektromotive,53.61102,-2.15445
60023,EM3703A-1,Trafford Town Hall,Elektromotive,53.45893,-2.28754
60024,EM3703B-3,Trafford Town Hall,Elektromotive,53.45893,-2.28754
60029,EM3732A-1,Trafford Centre Parking Garage East,Elektromotive,53.46534,-2.34518
60030,EM3732B-3,Trafford Centre Parking Garage East,Elektromotive,53.46534,-2.34518
60031,EM3721A-1,Trafford Centre West,Elektromotive,53.46537,-2.35302
60032,EM3721B-3,Trafford Centre West,Elektromotive,53.46537,-2.35302
60033,EM4132A-1,Trafford Centre West,Elektromotive,53.46537,-2.35302
60034,EM4132B-3,Trafford Centre West,Elektromotive,53.46537,-2.35302
60035,EM3989A-1,Trafford Centre West,Elektromotive,53.46537,-2.35302
